N°;EXPEDIENTE;NOMBRE_PROY;CONVENIO;UBIGEO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO_POBLADO;COD_UT;UNIDAD_TERRITORIAL;COD_SUB_TIPO_PROY;SUB_TIPO_PROY;ALIAS_ SUB_TIPO_PROY;RESUMEN_ETAPA;FECHA_INICIO;FECHA_TERMINO;MONTO_APROB;HOGARES
20;0420200002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN JUAN - TINAJONES;0420200004;0601100006;CAJAMARCA;CAJAMARCA;MATARA;SAN JUAN;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;14/12/2020;(en blanco); 1,008,000 ; 168 
21;0420200005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHAUCHABAMBA - SARIN;0420200009;0602030047;CAJAMARCA;CAJABAMBA;CONDEBAMBA;CHAUCHABAMBA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;21/12/2020;(en blanco); 1,200,000 ; 200 
22;0420200006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TANGALBAMBA;0420200010;0602030036;CAJAMARCA;CAJABAMBA;CONDEBAMBA;TANGALBAMBA ALTO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;21/12/2020;(en blanco); 1,200,000 ; 200 
23;0420200007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TERESA CONGA;0420200029;0603010055;CAJAMARCA;CELENDIN;CELENDIN;TERESA CONGA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,152,000 ; 192 
24;0420200008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CASHACONGA - CAHUAYPAMPA;0420200030;0603010034;CAJAMARCA;CELENDIN;CELENDIN;CASHACONGA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,248,000 ; 208 
25;0420200009;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA VICTORIA;0420200005;0603100006;CAJAMARCA;CELENDIN;SUCRE;LA VICTORIA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
26;0420200010;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CONGA DE URQUIA;0420200006;0603100005;CAJAMARCA;CELENDIN;SUCRE;CONGA DE URQUIA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
27;0420200011;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR JORGE CHAVEZ - ALTO PERU;0420200025;0603070004;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;JORGE CHAVEZ;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
28;0420200012;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MIRADOR - BELLAVISTA;0420200026;0603070013;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;MIRADOR;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
29;0420200013;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR EL TAMBO;0420200015;0601070020;CAJAMARCA;CAJAMARCA;LLACANORA;EL TAMBO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
30;0420200014;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SHAULLO GRANDE - TAURIPAMPA;0420200016;0601070012;CAJAMARCA;CAJAMARCA;LLACANORA;SHAULLO GRANDE;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
31;0420200015;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN JUAN DE YERBA BUENA  - TOLDOPATA;0420200007;0601050034;CAJAMARCA;CAJAMARCA;ENCAÑADA;SAN JUAN DE YERBA BUENA (YERBA BUENA GRANDE);04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
32;0420200016;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SOGORON BAJO - GALLORCO;0420200008;0601050064;CAJAMARCA;CAJAMARCA;ENCAÑADA;SOGORON BAJO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
33;0420200017;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CASHAPAMPA - HUALANGA;0420200019;0607010066;CAJAMARCA;HUALGAYOC;BAMBAMARCA;CASHAPAMPA BAJO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,782,000 ; 297 
34;0420200018;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TUCO - SANTA ROSA;0420200027;0607010005;CAJAMARCA;HUALGAYOC;BAMBAMARCA;SANTA ROSA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,710,000 ; 285 
35;0420200019;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHANCHILOMA;0420200020;0607010080;CAJAMARCA;HUALGAYOC;BAMBAMARCA;CHANCHILOMA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 618,000 ; 103 
36;0420200020;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHICOLON ;0420200021;0607010063;CAJAMARCA;HUALGAYOC;BAMBAMARCA;CHICOLON BAJO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
37;0420200021;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR ENTERADOR - LANCHECUCHO;0420200022;0607010087;CAJAMARCA;HUALGAYOC;BAMBAMARCA;LANCHECUCHO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
38;1420200001;"PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHUÑUHUAYO-CHACAHUAYO-PUQUINA
";1420200001;1802080001;MOQUEGUA;GENERAL SANCHEZ CERRO;PUQUINA;PUQUINA;14;MOQUEGUA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;4/01/2021;(en blanco); 1,200,000 ; 200 
39;1420200002;"PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SANTA ROSA - SUBIN -TALAMOLLE-CHILATA
";1420200002;1802080016;MOQUEGUA;GENERAL SANCHEZ CERRO;PUQUINA;SANTA ROSA DE PUCARA;14;MOQUEGUA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;4/01/2021;(en blanco); 1,200,000 ; 200 
40;1720200005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR VILLA LA LIBERTAD;1720200005;0907030029;HUANCAVELICA;TAYACAJA;ACRAQUIA;VILLA LA LIBERTAD (MATASENCCA);17;HUANCAVELICA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;16/11/2020;(en blanco); 1,200,000 ; 200 
41;1720200006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR DOS DE MAYO;1720200006;0907030008;HUANCAVELICA;TAYACAJA;ACRAQUIA;DOS DE MAYO;17;HUANCAVELICA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;16/11/2020;(en blanco); 1,200,000 ; 200 
42;1720200012;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHACCOMA;1720200012;0901190005;HUANCAVELICA;HUANCAVELICA;HUANDO;CHACCOMA;17;HUANCAVELICA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;17/11/2020;(en blanco); 1,200,000 ; 200 
43;2020200003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MACACHACRA;2020200015;0504040001;AYACUCHO;HUANTA;IGUAIN;MACACHACRA;20;AYACUCHO;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;16/01/2021;(en blanco); 1,236,000 ; 206 
44;2020200004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR ALLCUHUILLCA;2020200016;0504040023;AYACUCHO;HUANTA;IGUAIN;ALLCUHUILLCA;20;AYACUCHO;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;16/01/2021;(en blanco); 1,164,000 ; 194 
45;0420200022;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LICLIPAMPA;0420200028;0607010017;CAJAMARCA;HUALGAYOC;BAMBAMARCA;LICLIPAMPA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 690,000 ; 115 
46;0420200023;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SIVINGAN BAJO - LLASAVILCA CENTRO;0420200017;0604010010;CAJAMARCA;CHOTA;CHOTA;SIVINGAN BAJO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,200,000 ; 200 
47;0420200024;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LLASAVILCA;0420200018;0604010110;CAJAMARCA;CHOTA;CHOTA;LLASAVILCA ALTO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,080,000 ; 180 
48;0420200025;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN PEDRO - CHAMES;0420200013;0604080027;CAJAMARCA;CHOTA;CONCHAN;SAN PEDRO;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,140,000 ; 190 
49;0420200026;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LASCAN - SANTA ELENA;0420200014;0604080006;CAJAMARCA;CHOTA;CONCHAN;LASCAN;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,140,000 ; 190 
50;0420200027;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CUMPAMPA - CHOAGUIT;0420200023;0604170031;CAJAMARCA;CHOTA;TACABAMBA;CUMPAMPA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;15/12/2020;(en blanco); 1,260,000 ; 210 
